DATE,CUUSA211SA0S
1990-01-01,125.500
1990-07-01,128.500
1991-01-01,129.400
1991-07-01,131.400
1992-01-01,133.600
1992-07-01,136.400
1993-01-01,138.500
1993-07-01,139.900
1994-01-01,142.500
1994-07-01,144.700
1995-01-01,146.000
1995-07-01,148.000
1996-01-01,150.800
1996-07-01,153.000
1997-01-01,154.900
1997-07-01,155.900
1998-01-01,157.300
1998-07-01,159.400
1999-01-01,161.400
1999-07-01,165.100
2000-01-01,168.200
2000-07-01,172.000
2001-01-01,175.300
2001-07-01,177.700
2002-01-01,179.300
2002-07-01,180.000
2003-01-01,181.700
2003-07-01,183.600
2004-01-01,186.600
2004-07-01,189.200
2005-01-01,192.400
2005-07-01,193.900
2006-01-01,195.100
2006-07-01,197.300
2007-01-01,200.627
2007-07-01,201.867
2008-01-01,208.284
2008-07-01,209.632
2009-01-01,206.167
2009-07-01,209.611
2010-01-01,210.965
2010-07-01,212.492
2011-01-01,217.374
2011-07-01,221.304
2012-01-01,223.880
2012-07-01,225.038
2013-01-01,228.473
2013-07-01,229.149
2014-01-01,231.764
2014-07-01,232.261
2015-01-01,229.374
2015-07-01,231.760
2016-01-01,232.777
2016-07-01,235.514
2017-01-01,238.152
2017-07-01,240.325
2018-01-01,243.770
2018-07-01,246.168
2019-01-01,248.616
2019-07-01,251.596
2020-01-01,251.842
2020-07-01,254.152
2021-01-01,260.106
2021-07-01,270.383
