DATE,CUURA316SAF
2000-01-01,168.100
2000-02-01,.
2000-03-01,166.500
2000-04-01,.
2000-05-01,168.800
2000-06-01,.
2000-07-01,168.900
2000-08-01,.
2000-09-01,171.600
2000-10-01,.
2000-11-01,170.300
2000-12-01,.
2001-01-01,171.400
2001-02-01,.
2001-03-01,170.400
2001-04-01,.
2001-05-01,170.800
2001-06-01,.
2001-07-01,174.700
2001-08-01,.
2001-09-01,176.100
2001-10-01,.
2001-11-01,176.600
2001-12-01,.
2002-01-01,177.200
2002-02-01,.
2002-03-01,176.600
2002-04-01,.
2002-05-01,175.200
2002-06-01,.
2002-07-01,176.600
2002-08-01,.
2002-09-01,176.600
2002-10-01,.
2002-11-01,177.000
2002-12-01,.
2003-01-01,176.600
2003-02-01,.
2003-03-01,177.400
2003-04-01,.
2003-05-01,178.600
2003-06-01,.
2003-07-01,177.300
2003-08-01,.
2003-09-01,180.500
2003-10-01,.
2003-11-01,183.600
2003-12-01,.
2004-01-01,184.000
2004-02-01,.
2004-03-01,184.700
2004-04-01,.
2004-05-01,186.900
2004-06-01,.
2004-07-01,186.300
2004-08-01,.
2004-09-01,185.100
2004-10-01,.
2004-11-01,186.800
2004-12-01,.
2005-01-01,186.400
2005-02-01,.
2005-03-01,184.500
2005-04-01,.
2005-05-01,189.200
2005-06-01,.
2005-07-01,191.200
2005-08-01,.
2005-09-01,191.800
2005-10-01,.
2005-11-01,192.400
2005-12-01,.
2006-01-01,196.000
2006-02-01,.
2006-03-01,196.000
2006-04-01,.
2006-05-01,196.100
2006-06-01,.
2006-07-01,196.100
2006-08-01,.
2006-09-01,197.400
2006-10-01,.
2006-11-01,198.700
2006-12-01,.
2007-01-01,199.922
2007-02-01,.
2007-03-01,201.937
2007-04-01,.
2007-05-01,204.054
2007-06-01,.
2007-07-01,205.257
2007-08-01,.
2007-09-01,207.911
2007-10-01,.
2007-11-01,210.102
2007-12-01,.
2008-01-01,212.703
2008-02-01,.
2008-03-01,213.119
2008-04-01,.
2008-05-01,215.002
2008-06-01,.
2008-07-01,219.621
2008-08-01,.
2008-09-01,221.091
2008-10-01,.
2008-11-01,223.198
2008-12-01,.
2009-01-01,223.349
2009-02-01,.
2009-03-01,223.475
2009-04-01,.
2009-05-01,221.461
2009-06-01,.
2009-07-01,222.630
2009-08-01,.
2009-09-01,222.579
2009-10-01,.
2009-11-01,221.142
2009-12-01,.
2010-01-01,222.341
2010-02-01,.
2010-03-01,223.026
2010-04-01,.
2010-05-01,222.261
2010-06-01,.
2010-07-01,223.807
2010-08-01,.
2010-09-01,224.381
2010-10-01,.
2010-11-01,223.468
2010-12-01,.
2011-01-01,226.470
2011-02-01,.
2011-03-01,228.645
2011-04-01,.
2011-05-01,229.349
2011-06-01,.
2011-07-01,230.293
2011-08-01,.
2011-09-01,232.668
2011-10-01,.
2011-11-01,234.721
2011-12-01,.
2012-01-01,235.606
2012-02-01,.
2012-03-01,235.629
2012-04-01,.
2012-05-01,235.895
2012-06-01,.
2012-07-01,236.688
2012-08-01,.
2012-09-01,238.012
2012-10-01,.
2012-11-01,238.730
2012-12-01,.
2013-01-01,239.781
2013-02-01,.
2013-03-01,241.362
2013-04-01,.
2013-05-01,242.158
2013-06-01,.
2013-07-01,242.515
2013-08-01,.
2013-09-01,243.322
2013-10-01,.
2013-11-01,243.225
2013-12-01,.
2014-01-01,244.901
2014-02-01,.
2014-03-01,244.707
2014-04-01,.
2014-05-01,246.349
2014-06-01,.
2014-07-01,245.785
2014-08-01,.
2014-09-01,249.118
2014-10-01,.
2014-11-01,249.432
2014-12-01,.
2015-01-01,249.845
2015-02-01,.
2015-03-01,249.256
2015-04-01,.
2015-05-01,249.029
2015-06-01,.
2015-07-01,247.956
2015-08-01,.
2015-09-01,248.674
2015-10-01,.
2015-11-01,251.370
2015-12-01,.
2016-01-01,250.567
2016-02-01,.
2016-03-01,249.669
2016-04-01,.
2016-05-01,249.905
2016-06-01,.
2016-07-01,251.015
2016-08-01,.
2016-09-01,251.497
2016-10-01,.
2016-11-01,250.797
2016-12-01,.
2017-01-01,251.369
2017-02-01,.
2017-03-01,251.844
2017-04-01,.
2017-05-01,251.286
2017-06-01,.
2017-07-01,251.754
2017-08-01,.
2017-09-01,255.004
2017-10-01,.
2017-11-01,252.167
2017-12-01,.
2018-01-01,252.753
2018-02-01,.
2018-03-01,251.166
2018-04-01,.
2018-05-01,251.727
2018-06-01,.
2018-07-01,251.892
2018-08-01,.
2018-09-01,253.652
2018-10-01,.
2018-11-01,252.570
2018-12-01,.
2019-01-01,253.699
2019-02-01,.
2019-03-01,255.969
2019-04-01,.
2019-05-01,257.955
2019-06-01,.
2019-07-01,258.538
2019-08-01,.
2019-09-01,258.853
2019-10-01,.
2019-11-01,260.308
2019-12-01,.
2020-01-01,259.487
2020-02-01,.
2020-03-01,261.443
2020-04-01,.
2020-05-01,263.803
2020-06-01,.
2020-07-01,264.429
2020-08-01,.
2020-09-01,262.249
2020-10-01,.
2020-11-01,266.862
2020-12-01,.
2021-01-01,269.325
2021-02-01,.
2021-03-01,272.916
2021-04-01,.
2021-05-01,271.289
2021-06-01,.
2021-07-01,273.869
2021-08-01,.
2021-09-01,277.090
2021-10-01,.
2021-11-01,277.691
2021-12-01,.
2022-01-01,285.464
2022-02-01,.
2022-03-01,296.052
