DATE,PCPI26163
1991-01-01,18379
1992-01-01,19108
1993-01-01,19896
1994-01-01,21057
1995-01-01,21974
1996-01-01,22871
1997-01-01,23822
1998-01-01,24987
1999-01-01,26096
2000-01-01,27934
2001-01-01,27908
2002-01-01,27443
2003-01-01,28347
2004-01-01,29170
2005-01-01,29952
2006-01-01,30612
2007-01-01,31792
2008-01-01,32364
2009-01-01,31462
2010-01-01,32649
2011-01-01,34401
2012-01-01,35058
2013-01-01,35191
2014-01-01,36815
2015-01-01,39072
2016-01-01,40115
2017-01-01,40477
2018-01-01,42635
2019-01-01,44308
2020-01-01,48788
