DATE,PCPI27053
1990-01-01,25844
1991-01-01,26346
1992-01-01,28037
1993-01-01,28674
1994-01-01,29949
1995-01-01,31912
1996-01-01,33509
1997-01-01,36048
1998-01-01,38978
1999-01-01,40707
2000-01-01,44008
2001-01-01,43998
2002-01-01,44057
2003-01-01,45815
2004-01-01,48958
2005-01-01,50821
2006-01-01,53956
2007-01-01,56569
2008-01-01,57278
2009-01-01,52818
2010-01-01,54906
2011-01-01,57807
2012-01-01,61949
2013-01-01,60974
2014-01-01,64644
2015-01-01,67684
2016-01-01,68704
2017-01-01,70655
2018-01-01,74461
2019-01-01,76131
2020-01-01,79183
