DATE,NYPCPI
1990-01-01,23990.0
1991-01-01,23868.0
1992-01-01,25061.0
1993-01-01,25581.0
1994-01-01,26259.0
1995-01-01,27576.0
1996-01-01,28936.0
1997-01-01,30443.0
1998-01-01,32040.0
1999-01-01,33740.0
2000-01-01,36090.0
2001-01-01,37283.0
2002-01-01,37088.0
2003-01-01,37576.0
2004-01-01,39329.0
2005-01-01,40884.0
2006-01-01,44128.0
2007-01-01,47428.0
2008-01-01,48184.0
2009-01-01,47027.0
2010-01-01,48768.0
2011-01-01,50904.0
2012-01-01,53102.0
2013-01-01,53395.0
2014-01-01,55290.0
2015-01-01,57481.0
2016-01-01,59280.0
2017-01-01,63045.0
2018-01-01,65097.0
2019-01-01,67325.0
2020-01-01,71449.0
2021-01-01,76415.0
